already_cited,eval_date,graph_edges,graph_nodes,not_in_pool_after_cutoff,paper_id,pool_available,post_cutoff_candidates,raw_pool_size,reviewer_cases
0,2025-06-17,3334,1000,0,143,0,177,1000,0
0,2024-11-22,2773,1000,1,144,0,132,1000,1
0,2025-06-13,2593,1000,2,145,0,88,1000,2
0,2024-05-03,1479,1000,0,146,0,93,1000,0
0,2025-03-16,4034,1000,0,147,0,121,1000,0
0,2026-01-24,2320,1000,4,148,0,162,1000,4
0,2025-10-15,2396,1000,3,149,0,158,1000,3
0,2025-03-17,4140,1000,4,150,0,185,1000,4
0,2025-06-27,3556,1000,0,151,0,167,1000,0
0,2024-08-12,3405,1000,4,152,0,197,1000,4
0,2024-07-10,2477,1000,3,153,0,109,1000,3
0,2024-11-08,1783,1000,9,154,0,171,1000,9
0,2024-06-13,2118,1000,3,155,0,157,1000,3
0,2026-02-02,1234,1000,1,156,0,112,1000,1
0,2024-10-21,5230,1000,1,157,0,159,1000,1
0,2024-07-21,3102,1000,6,158,0,148,1000,6
0,2024-03-31,4091,1000,1,159,0,174,1000,1
0,2025-10-01,130,137,5,160,0,6,137,5
0,2025-03-03,1839,1000,1,161,0,169,1000,1
0,2025-03-05,2868,1000,0,162,0,169,1000,0
0,2024-08-14,1531,1000,3,164,0,177,1000,3
0,2023-10-19,1893,1000,2,165,0,72,1000,2
0,2024-02-26,3341,1000,2,166,1,167,1000,3
0,2023-07-25,4155,1000,0,167,0,176,1000,0
0,2025-03-25,1529,1000,0,168,0,124,1000,0
0,2024-11-21,4593,1000,0,169,0,196,1000,0
0,2024-08-02,1312,1000,0,170,0,110,1000,0
0,2025-05-28,1963,1000,0,171,0,184,1000,0
0,2025-01-17,1703,1000,0,172,0,149,1000,0
0,2022-03-30,3721,1000,0,173,0,101,1000,0
0,2023-01-09,1091,1000,0,174,0,99,1000,0
0,2025-04-06,108,156,0,175,0,39,156,0
0,2025-03-21,1960,1000,0,176,0,160,1000,0
0,2024-05-27,6762,1000,0,177,0,188,1000,0
0,2024-02-16,2713,1000,0,178,0,135,1000,0
0,2024-10-29,1263,1000,0,179,0,130,1000,0
0,2025-09-20,3179,1000,0,180,0,154,1000,0
