available_recall,eval_date,matched_cases_recalled,paper_id,pool_available_cases,raw_recall,selected_candidates,threshold
0.0,2024-05-15,0,1,3,0.0,1,0.003782101099560702
0.0,2024-05-15,0,1,3,0.0,2,0.0035575027462364213
0.0,2024-05-15,0,1,3,0.0,3,0.0010347494927642788
0.0,2024-05-15,0,1,3,0.0,4,0.0009424547940173614
0.0,2024-05-15,0,1,3,0.0,5,0.0008067684173652575
0.0,2024-05-15,0,1,3,0.0,7,0.000505094546011971
0.0,2024-05-15,0,1,3,0.0,8,0.0002780122386649802
0.0,2024-05-15,0,1,3,0.0,9,0.00018503463566775172
0.0,2024-05-15,0,1,3,0.0,11,9.297760299722849e-05
0.0,2024-05-15,0,1,3,0.0,12,3.9662243050556623e-19
0.0,2024-05-15,0,1,3,0.0,13,3.656899280507844e-19
0.0,2024-05-15,0,1,3,0.0,14,2.362779649001274e-19
0.0,2024-05-15,0,1,3,0.0,15,1.6034446560543883e-19
1.0,2024-05-15,3,1,3,0.6,103,0.0
0.0,2024-03-21,0,2,0,0.0,1,0.011500954363998514
0.0,2024-03-21,0,2,0,0.0,2,0.0034553382678825816
0.0,2024-03-21,0,2,0,0.0,3,1.857970249671855e-21
0.0,2024-03-21,0,2,0,0.0,4,1.2841853196261344e-21
0.0,2024-03-21,0,2,0,0.0,178,0.0
0.0,2024-09-28,0,3,0,0.0,1,0.007809455687315793
0.0,2024-09-28,0,3,0,0.0,2,0.005495757520364231
0.0,2024-09-28,0,3,0,0.0,3,0.0045107392834685895
0.0,2024-09-28,0,3,0,0.0,4,0.0028689272706673465
0.0,2024-09-28,0,3,0,0.0,5,0.002313698166951561
0.0,2024-09-28,0,3,0,0.0,6,0.0009850182368956423
0.0,2024-09-28,0,3,0,0.0,9,0.0009741887018743415
0.0,2024-09-28,0,3,0,0.0,10,0.000877663499200064
0.0,2024-09-28,0,3,0,0.0,11,0.0005931232334079214
0.0,2024-09-28,0,3,0,0.0,12,0.0005552291037157857
0.0,2024-09-28,0,3,0,0.0,16,0.0005443995686944849
0.0,2024-09-28,0,3,0,0.0,17,0.0001540954469896211
0.0,2024-09-28,0,3,0,0.0,20,5.955319973473743e-05
0.0,2024-09-28,0,3,0,0.0,21,4.87236647134366e-05
0.0,2024-09-28,0,3,0,0.0,22,1.41465598589527e-26
0.0,2024-09-28,0,3,0,0.0,24,9.579864663579739e-27
0.0,2024-09-28,0,3,0,0.0,25,4.7362160457232056e-27
0.0,2024-09-28,0,3,0,0.0,26,3.313967659482333e-27
0.0,2024-09-28,0,3,0,0.0,27,2.5921247957017662e-27
0.0,2024-09-28,0,3,0,0.0,29,2.1440912500214397e-27
0.0,2024-09-28,0,3,0,0.0,32,1.9803777826052465e-27
0.0,2024-09-28,0,3,0,0.0,34,1.855489093612122e-27
0.0,2024-09-28,0,3,0,0.0,35,1.8020031238927107e-27
0.0,2024-09-28,0,3,0,0.0,39,1.4222483862408728e-27
0.0,2024-09-28,0,3,0,0.0,40,1.252062110360805e-27
0.0,2024-09-28,0,3,0,0.0,43,1.169876409460893e-27
0.0,2024-09-28,0,3,0,0.0,44,8.438177165473282e-28
0.0,2024-09-28,0,3,0,0.0,46,6.707707800728338e-28
0.0,2024-09-28,0,3,0,0.0,49,2.882572540634798e-28
0.0,2024-09-28,0,3,0,0.0,167,0.0
0.0,2023-06-30,0,4,0,0.0,1,0.0025134272492183867
0.0,2023-06-30,0,4,0,0.0,2,0.001459842709797123
0.0,2023-06-30,0,4,0,0.0,3,0.0009318395343770777
0.0,2023-06-30,0,4,0,0.0,7,0.0006386811855362414
0.0,2023-06-30,0,4,0,0.0,8,0.0006198703305438213
0.0,2023-06-30,0,4,0,0.0,9,0.0004984828765160909
0.0,2023-06-30,0,4,0,0.0,11,0.0004397300292820135
0.0,2023-06-30,0,4,0,0.0,12,0.0003865439645916582
