category,positive_papers,positive_rate,score_bearing,decision_reason,full_precision_lb,full_recall,full_f0_5,cv_precision_lb,cv_recall,cv_f0_5,thresholds
gap,83,0.4911242603550296,True,stable enough for score-capping calibration,0.5086206896551724,0.7108433734939759,0.5393053016453382,0.49107142857142855,0.6626506024096386,0.5178907721280602,"{""gap_coverage"": 0.13230769230769235, ""gap_volume"": 0.19545227386306846}"
contrast,96,0.5680473372781065,True,stable enough for score-capping calibration,0.6031746031746031,0.7916666666666666,0.6333333333333333,0.5833333333333334,0.7291666666666666,0.6076388888888888,"{""contrast_coverage"": 0.5151515151515151, ""contrast_volume"": 0.6835443037974683}"
synthesis,127,0.7514792899408284,True,stable enough for score-capping calibration,0.7698412698412699,0.7637795275590551,0.768621236133122,0.7666666666666667,0.7244094488188977,0.7578253706754531,"{""synthesis_coverage"": 0.1555555555555555, ""synthesis_volume"": 0.0}"
scope,69,0.40828402366863903,True,stable enough for score-capping calibration,0.5263157894736842,0.14492753623188406,0.3448275862068966,0.5263157894736842,0.14492753623188406,0.3448275862068966,"{""scope_exists"": 1.0}"
contribution,73,0.4319526627218935,False,held-out observed precision lower bound is too low,0.2222222222222222,0.0273972602739726,0.09174311926605505,0.2222222222222222,0.0273972602739726,0.09174311926605505,"{""contribution_exists"": 0.40000000000000036}"
reference,103,0.6094674556213018,True,stable enough for score-capping calibration,0.6422764227642277,0.7669902912621359,0.6638655462184874,0.6260162601626016,0.7475728155339806,0.6470588235294118,"{""reference_topic_coverage"": 0.7169642857142857, ""citations_per_topic"": 1.881639928698752}"
topic,140,0.8284023668639053,False,observed concern is saturated; reviewer comments do not provide a useful threshold,0.816,0.7285714285714285,0.796875,0.8188976377952756,0.7428571428571429,0.8024691358024691,"{""topic_count"": 66.0}"
